response_id,session_id,learning_objective_id,learning_objective
gofxtfj,nuqzusu,lvzqzmo,Solving problems involving conversions between metric measures.
gogkxyl,dciulcg,hrpfpoj,Using fact families to multiply and divide.
gogrvxd,mqkxqxk,lortfat,Rounding numbers to the nearest tenth.
gogxbyd,csmczhx,khgykop,"Ordering numbers up to 1,000,000."
gohdplf,nsztnbc,nvoahmy,Solving multi-step addition and subtraction problems.
gohdybs,gfzosfh,ikpmfhw,Seeing fractions as numbers. 
gohpsqe,hafwzso,mcnzvid,Developing Fluency with Addition and Subtraction
goiasxu,mptcnur,folqlut,Comparing numbers with up to 2 decimal places using money.
goikdsg,bmuavjm,bfhkqzq,Finding fractions of a set of objects.
goikhbd,imhilja,bvaxfzg,Adding and subtracting fractions with different denominators.
goishqz,itymzhk,apsqsjm,Writing hundredths as decimals.
goixrfu,bwecjbo,fowrkud,Using the inverse between addition and subtraction
gojqbjq,ncgyxpn,ittdkew,Finding equivalent fractions.
gojuvtx,ebulckc,ipbeakp,Finding multiples.
gojvvph,fdrkmfl,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gokjlwe,lyuumsj,meqpwaq,Solving real-life problems with remainders.
gokmdur,htsuwod,mndvwdh,Understanding fractions greater than 1.
gokpjrn,hyfeypx,lortfat,Rounding numbers to the nearest tenth.
gokqbqf,ivxsmko,jczttsr,Writing simple fractions as decimals.
goktwav,llitgdz,jczttsr,Writing simple fractions as decimals.
goltcal,csviseg,jtdvfzo,Dividing using short division with exchange.
gombqts,gsrdmus,famwnbp,Dividing numbers by 100.
gomgeiu,flhjtir,jgitiar,Using addition and subtraction facts within 20. 
gomtupu,gddyyuf,cayqlmh,Comparing and ordering fractions.
gonbrsb,kmyidjb,acvbcev,Comparing fractions using reasoning.
gonfdbp,hhxlqvo,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gonkiam,brlprnw,kccejva,Multiplying using short multiplication.
gonogjn,nhocnmv,heqwrmw,Using doubling and halving to find multiplication facts.
goopttl,jzsjdrn,ecwvorq,Choosing a mental or written method.
gooylcr,mblpapg,nlerqfa,Describing 2D shapes. 
gopfgdt,fuckqoc,bxpkxcq,Multiplying decimals using short multiplication
gopsqog,dkqiotn,ahgjnev,Finding percentages of an amount.
goputci,andtypv,fjbqcsv,Comparing and ordering fractions by finding a common denominator.
goqemie,ckswkli,cayqlmh,Comparing and ordering fractions.
goqiake,asxfayd,fqxlbgh,Using pictures to solve problems. 
goqtuif,eqdcpbx,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
goredck,dugnxer,mcnzvid,Developing Fluency with Addition and Subtraction
goreuei,gwwxtsz,aqrhryr,Rounding decimals to the nearest whole number.
gorqfmo,aywiwmy,invpjcq,"Comparing acute, obtuse and reflex angles."
gosiice,gczfjud,lddighw,"Comparing numbers up to 10,000."
gosiupl,bpnqemb,mlkxdrb,Solving area and perimeter problems.
gosjjzl,cybzsqu,dzbfsdd,Finding square numbers.
gosrhbt,fgmkyof,ittdkew,Finding equivalent fractions.
gotffud,mtntlnm,kffybwf,Using Circle Theorems
gotkpum,crbiwlo,mcfgtav,Adding using the column method. 
gotllpy,iderekr,bvaxfzg,Adding and subtracting fractions with different denominators.
gotlmag,mmwfhra,kccejva,Multiplying using short multiplication.
gotroee,ereijxh,klriafb,Dividing using short division.
gotsmit,actkyuh,fjbqcsv,Comparing and ordering fractions by finding a common denominator.
gotuopl,nwgvxyw,mflvjfv,Using known facts to find factors.
gotxlmb,bwzdjgw,advgudi,Using a number line to show fractions.
gouiyzo,hedakoi,icdggsk,"Comparing numbers up to 1,000."
gouvsls,nlcftro,etkffze,Factorising Quadratics (coefficient equal to 1)
govaemo,gocphcx,ahwahcf,Comparing to find the difference. 
govcdxs,nivlyzl,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
govqnjc,eeuqxau,mcnzvid,Developing Fluency with Addition and Subtraction
govxmcm,lqhmbxe,ecwvorq,Choosing a mental or written method.
gowbqbc,iuopzwr,folqlut,Comparing numbers with up to 2 decimal places using money.
gowgbwa,eqwtxak,fjbqcsv,Comparing and ordering fractions by finding a common denominator.
gowwopz,dsgkzgy,bvaxfzg,Adding and subtracting fractions with different denominators.
gowyeav,hluovnz,mcfgtav,Adding using the column method. 
goxablv,ioenhtp,mgaxxlw,Substitute positive and negative numbers into formulae
goxbapu,cguwjga,mflvjfv,Using known facts to find factors.
goxbpqh,gjrnbmd,cpgyqua,Writing tenths as decimals.
goxcdph,ntyixit,cayqlmh,Comparing and ordering fractions.
goxiogg,myeyhtk,jtdvfzo,Dividing using short division with exchange.
goxjjca,jsusjtc,begwnzt,Solving problems involving fractions.
goxkjye,gzcllfs,gosyndz,Using multiplication to convert units of measure.
goxklar,kgqbrrc,mqoudkb,Finding factors.
goxllme,afuilpt,hrpfpoj,Using fact families to multiply and divide.
goxmlwg,ioleoll,ittdkew,Finding equivalent fractions.
goxrfjw,joslaik,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
goxyjlb,jzkqvpz,jczttsr,Writing simple fractions as decimals.
goxzgpf,kdqthiy,khgykop,"Ordering numbers up to 1,000,000."
goyahzy,calxbqb,bfhkqzq,Finding fractions of a set of objects.
goyamek,ksaucxc,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
goybprr,hzkqdfu,meqpwaq,Solving real-life problems with remainders.
goybusp,nxfphco,bgeynjl,Adding and subtracting fractions within 1.
gozhwpe,cgunonw,jzbokzb,Using mental strategies to divide.
gozizqb,knscsza,acvbcev,Comparing fractions using reasoning.
gozjyvm,hkiczwi,hdlyxit,Using fractions to solve problems.
goztzwu,dkbkcqc,fvlruzc,"Showing and partitioning numbers up to 10,000. "
gpbsflw,bqhxlav,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gpcbebz,eonyeri,invpjcq,"Comparing acute, obtuse and reflex angles."
gpceong,htecccn,hrpfpoj,Using fact families to multiply and divide.
gpctwms,jafzqqz,jczttsr,Writing simple fractions as decimals.
gpducil,avewozl,acvbcev,Comparing fractions using reasoning.
gpedjee,menncyz,krfuudx,Counting in multiples.
gpegbqu,gdoihjj,mlfcler,Adding and subtracting decimals using known facts.
gpejtep,dolmmva,cjlaygb,Estimating the position of tenths and hundredths on a number line.
gpeqgge,ipprbnn,jtdvfzo,Dividing using short division with exchange.
gpezmyo,amvbktw,folqlut,Comparing numbers with up to 2 decimal places using money.
gpfleol,miisrrr,mntjdry,Finding equivalent fractions using a number line.
gpfocxf,nwapjrn,dzbfsdd,Finding square numbers.
gpfsfcy,goptmta,mqoudkb,Finding factors.
gpfuqym,ihyrcke,lddighw,"Comparing numbers up to 10,000."
gpfvjog,afvsldt,begwnzt,Solving problems involving fractions.
gpgdhil,ifkocyg,hwjxuqg,Subtracting money using the column method.
gpgknha,mlkorgt,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gpgktsg,dcfhbjb,mvctkbq,Calculating the area of triangles
gpgnkbp,hvjqscv,nvhtbfr,Multiplying 2-digit numbers using long multiplication. 
gpgspjq,nrkzepg,dzbfsdd,Finding square numbers.
gphazsf,fhirrgn,mcnzvid,Developing Fluency with Addition and Subtraction
gphqath,axwviog,nixdzua,Adding and subtracting fractions with the same denominator.
gphrsbi,mataniv,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gphwamz,hjuacwz,lortfat,Rounding numbers to the nearest tenth.
gphwzcu,gbfespl,nixdzua,Adding and subtracting fractions with the same denominator.
gpiabbu,bbkxpen,cpgyqua,Writing tenths as decimals.
gpiarpm,dkzdvmh,bmtcjox,Converting between units of measure.
gpibhtp,jhsiaxe,mflvjfv,Using known facts to find factors.
gpijgis,eoskpfm,khgykop,"Ordering numbers up to 1,000,000."
gpixpac,joidhak,jczttsr,Writing simple fractions as decimals.
gpjnjgl,mtulmrq,dwfrhvb,Adding or subtracting tenths or hundredths.
gpkdjig,fwytolv,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
gpkjuvf,eyberxa,kbxayvd,Finding common factors of two numbers.
gpktlli,izjbuzz,klriafb,Dividing using short division.
gpkxvjd,eyzuuvm,icdggsk,"Comparing numbers up to 1,000."
gpllwsw,ccjwtdo,khgykop,"Ordering numbers up to 1,000,000."
gplnqvq,lbgjwfp,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
gplnyut,awqwnle,ittdkew,Finding equivalent fractions.
gplxcss,lrearfg,eypteqi,Calculating with Fractions in Context. 
gpmdufh,kstwezo,nvoahmy,Solving multi-step addition and subtraction problems.
gpmuali,dxllesx,klriafb,Dividing using short division.
gpmwdtc,fxdgcpz,kqwftnv,Adding and subtracting 10s or 100s. 
gpmxbau,eiouvie,bfhkqzq,Finding fractions of a set of objects.
gpnannn,hdfpgvu,bvaxfzg,Adding and subtracting fractions with different denominators.
gpndtxy,lcpgkzw,aisoxgv,Using known facts to work out other multiplication facts. 
gpnnmmd,dsycpmp,igxgpby,Calculating the perimeter and unknown sides.
gpnojox,gqldvkx,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gpnvwxc,lwufaqf,mflvjfv,Using known facts to find factors.
gpnwpzw,bdmwwut,advgudi,Using a number line to show fractions.
gpoaroz,fwtqknz,acvbcev,Comparing fractions using reasoning.
gpobiqp,iijagcf,ggrkdmm,Solving equations with the unknown on both sides
gpogesx,hxqfdzk,fphoyhe,Showing fractions as parts of a whole. 
gporaji,jajwmgt,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gpoummv,eczunwy,nulmadz,"Rounding numbers to the nearest 10,000 and 100,000."
gpovbba,hvxgqzt,mntjdry,Finding equivalent fractions using a number line.
gpoztqx,cgtkxqv,iaxxfeb,Using mental strategies to multiply.
gppgobp,fqcqazq,krfuudx,Counting in multiples.
gppyloa,mxoamvw,jczttsr,Writing simple fractions as decimals.
gpqauzp,emnxlsq,khgykop,"Ordering numbers up to 1,000,000."
gpqcyrs,mydpyke,nvoahmy,Solving multi-step addition and subtraction problems.
gpqechq,eogirvn,khgykop,"Ordering numbers up to 1,000,000."
gpqhnae,jgtuqju,igxgpby,Calculating the perimeter and unknown sides.
gpqlvat,grrbtgw,lortfat,Rounding numbers to the nearest tenth.
gprbfld,ilyknsg,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gprmosr,gsqofnk,nulmadz,"Rounding numbers to the nearest 10,000 and 100,000."
gprsbqz,dgkiapj,mbpfdmx,Identifying Types of Numbers
gprsmeo,glgpxwe,htmuncx,"Ordering numbers up to 1,000. "
gpscwkt,crxirxc,hdlyxit,Using fractions to solve problems.
gpsssqh,mjqspzq,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gpszpen,kwpjfln,guhomsj,Adding and subtracting fractions including mixed numbers.
gptkvyq,byxoigx,iaxxfeb,Using mental strategies to multiply.
gptlazm,kigfjze,invpjcq,"Comparing acute, obtuse and reflex angles."
gptmgmw,dxmbglx,mlfcler,Adding and subtracting decimals using known facts.
gptmjzx,hdfyvkm,meqpwaq,Solving real-life problems with remainders.
gptmldj,aeqmsoz,luxensj,Comparing numbers with up to 2 decimal places.
gptumqn,bsmbuct,eukmzxl,Adding and subtracting tens to a 2-digit number. 
gpujdqq,ivqckvz,folqlut,Comparing numbers with up to 2 decimal places using money.
gpujpoh,fvowwll,mgazazx,Using scale factors
gpupjjl,ctrssyk,mflvjfv,Using known facts to find factors.
gpuwrox,ilaxael,dzbfsdd,Finding square numbers.
gpvghhk,dxpxuds,iaxxfeb,Using mental strategies to multiply.
gpvkmbj,ixheyuq,hjfghwb,"Knowing the value of each digit in numbers up to 1,000,000."
gpvmgei,glzqigv,lcidfkx,Rounding numbers to the nearest 10.
gpxdejx,btmathj,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gpxqpvd,feriusl,mfcuuxh,"Using hundreds, tens and ones to make 3-digit numbers. "
gpxvvhh,ggkqdjh,jhhktze,Grouping and counting in 10s. 
gpxzodg,eqwhhsm,eiqjtpi,Looking at patterns using a multiplication square. 
gpydstd,mxggquz,gsowtvc,Solving real-life problems with bar models.
gpytycz,fdcufeq,ipbeakp,Finding multiples.
gpzvflf,kucuggh,khgykop,"Ordering numbers up to 1,000,000."
gpzzsxr,ekuwbnj,hrpfpoj,Using fact families to multiply and divide.
gqaboss,jlumdon,hrpfpoj,Using fact families to multiply and divide.
gqadmsq,ggtlsbc,cayqlmh,Comparing and ordering fractions.
gqafpao,fxdjnrq,iiuonst,Finding number pairs that total 100. 
gqaksmv,ixbphpf,mcnzvid,Developing Fluency with Addition and Subtraction
gqasgoq,ictayea,lddighw,"Comparing numbers up to 10,000."
gqbniso,ahtcyys,mflvjfv,Using known facts to find factors.
gqbujjy,hzcztkk,nvhtbfr,Multiplying 2-digit numbers using long multiplication. 
gqcdqbf,gljlsic,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gqckztg,fwiusnq,mcnzvid,Developing Fluency with Addition and Subtraction
gqcsylm,feiujny,krfuudx,Counting in multiples.
gqdesct,ilgyyqv,bllttmr,Writing percentages as fractions and decimals.
gqdgrhc,kuszenb,meqpwaq,Solving real-life problems with remainders.
gqehaai,fprjqdq,apsqsjm,Writing hundredths as decimals.
gqeilwi,fxdophh,luxensj,Comparing numbers with up to 2 decimal places.
gqemztx,lcivwaa,erozqvz,Making a whole. 
gqetbxd,cuwmobq,cbyyaui,Adding and subtracting using rounding and adjusting.
gqexqih,duylvio,aqrhryr,Rounding decimals to the nearest whole number.
gqfhruo,myrxhrw,bfhkqzq,Finding fractions of a set of objects.
gqfscpd,jqhsuos,mcnzvid,Developing Fluency with Addition and Subtraction
gqftmdd,cslziiq,cbyyaui,Adding and subtracting using rounding and adjusting.
gqgddof,ixviwpz,nbnqdnl,Multiplying and dividing decimals using known facts.
gqgrrqw,dopxtqx,meqpwaq,Solving real-life problems with remainders.
gqgubar,hblkfbd,ittdkew,Finding equivalent fractions.
gqhbrof,efrszhp,mntjdry,Finding equivalent fractions using a number line.
gqhkyzr,dlkunit,nulmadz,"Rounding numbers to the nearest 10,000 and 100,000."
gqibtwi,ewixvtc,kccejva,Multiplying using short multiplication.
gqihlsr,mduwcen,bgeynjl,Adding and subtracting fractions within 1.
gqiqsch,hscbrqk,hdmckzm,Calculating areas.
gqiqukn,fmpgliy,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gqjilnu,jwxepmp,eiqjtpi,Looking at patterns using a multiplication square. 
gqjotcg,dexptvx,gosyndz,Using multiplication to convert units of measure.
gqkdmht,jalaptz,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gqkgxnb,eizdzee,nbnqdnl,Multiplying and dividing decimals using known facts.
gqkodbr,ksjintg,icdggsk,"Comparing numbers up to 1,000."
gqkquxb,muflrfc,jtdvfzo,Dividing using short division with exchange.
gqkswen,ntawvmk,nlerqfa,Describing 2D shapes. 
gqkwwjy,fqngbmm,meqpwaq,Solving real-life problems with remainders.
gqlwkfl,lxrdeyb,ifzfvwf,Using coins to make a total amount. 
gqmbwau,jlpjijo,ctnktuy,Using diagrams to show equivalent fractions.
gqmrqhq,evyssds,aisoxgv,Using known facts to work out other multiplication facts. 
gqnewyx,mmyrgze,bvaxfzg,Adding and subtracting fractions with different denominators.
gqnfhck,fudnuwx,fdnahgl,Telling the time to five minutes. 
gqngaed,neerxph,kccejva,Multiplying using short multiplication.
gqnhxwd,npbnuaq,iswyqvs,Using multiplication and division facts up to 12 x 12.
gqnjubi,matijdx,kbxayvd,Finding common factors of two numbers.
gqnrdwb,mqyuorm,mlkxdrb,Solving area and perimeter problems.
gqnycng,kwpyqrd,jloipph,Dividing using partitioning.
gqobvvw,iofvynv,cjlaygb,Estimating the position of tenths and hundredths on a number line.
gqodxda,lmmirkp,ajoysag,Multiplying 3 numbers.
gqosyoa,hehezxc,hdcjwuj,Multiplying and dividing by 10. 
gqotddz,kfycprr,ittdkew,Finding equivalent fractions.
gqousgp,csoxiwr,cpgyqua,Writing tenths as decimals.
gqpadox,bupxngi,mcnzvid,Developing Fluency with Addition and Subtraction
gqpbqrk,kycxpud,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gqpksoz,cfvbona,acvbcev,Comparing fractions using reasoning.
gqpuevy,fflgqcg,ipbeakp,Finding multiples.
gqpzfdd,doupyrf,fjbqcsv,Comparing and ordering fractions by finding a common denominator.
gqqjrjp,dizoaoj,bvaxfzg,Adding and subtracting fractions with different denominators.
gqqrcry,gtqcnuc,nulmadz,"Rounding numbers to the nearest 10,000 and 100,000."
gqqtart,hjihnpe,ixlglnr,"Rounding numbers to the nearest 100 and 1,000."
gqquefi,artydes,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gqquswq,hmexchd,jfiewtm,Finding missing numbers using the inverse. 
gqqzdjn,ezvosxv,ipbeakp,Finding multiples.
gqrjjam,dprullc,begwnzt,Solving problems involving fractions.
gqscpyo,nwbkjet,meqpwaq,Solving real-life problems with remainders.
gqsjwwu,dbmaagn,npjzxlw,Finding common multiples.
gqtjrcc,dnwdswb,htmuncx,"Ordering numbers up to 1,000. "
gqtsnrr,mtlmbgk,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gqtxlng,fcrlwvz,mflvjfv,Using known facts to find factors.
gqugyfy,jmxhswh,kbxayvd,Finding common factors of two numbers.
gquqwzk,jdziskt,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
gqutplw,jpkfaup,krvihpe,Multiplying and dividing whole numbers and decimals by 10 and 100.
gquucli,npboykf,htmuncx,"Ordering numbers up to 1,000. "
gquvtcr,jsllnjc,bllttmr,Writing percentages as fractions and decimals.
gqvkdgt,hwgnziw,cpgyqua,Writing tenths as decimals.
gqvnqff,gicruqh,kccejva,Multiplying using short multiplication.
gqvuxkk,eufqcbc,klriafb,Dividing using short division.
gqvyokt,gjdptoo,jfvgeod,Multiplying up to 3-digits using short multiplication.
gqvywyn,hvurqjc,ctagocd,Comparing and ordering simple fractions.
gqwaaxq,cglyvct,ifzfvwf,Using coins to make a total amount. 
gqwfqgw,jfqzcbu,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
gqwpfcd,lcmyxnb,fhbcvwv,Working with Ratio
gqwqkdu,grkhwff,cayqlmh,Comparing and ordering fractions.
gqxamyg,fpudwvo,bvaxfzg,Adding and subtracting fractions with different denominators.
gqxgokc,baemwvx,klriafb,Dividing using short division.
gqxzvwa,mwzriib,mcnzvid,Developing Fluency with Addition and Subtraction
gqyafrj,hvriaye,lvzqzmo,Solving problems involving conversions between metric measures.
gqytdhy,flsyamf,cpgyqua,Writing tenths as decimals.
gqzsams,ffeklyk,jfvgeod,Multiplying up to 3-digits using short multiplication.
gqzsnlm,igukiqz,krfuudx,Counting in multiples.
graenjm,doipwck,folqlut,Comparing numbers with up to 2 decimal places using money.
grafjej,bmphszp,mzfyjyr,Simplifying fractions.
grahwug,lwzcvxq,eypteqi,Calculating with Fractions in Context. 
grarvdc,lvksidk,bfhkqzq,Finding fractions of a set of objects.
gravepo,ficeqpq,ajoysag,Multiplying 3 numbers.
gravvkg,mpxowwt,heqwrmw,Using doubling and halving to find multiplication facts.
grbugio,akhgjkp,folqlut,Comparing numbers with up to 2 decimal places using money.
grcarvm,bhiqvwv,ctnktuy,Using diagrams to show equivalent fractions.
grcfyof,comkntm,lvlmpiw,Calculating the perimeter of rectangles.
grdfnxv,dciekxx,bwkgtme,"Looking at the 2x, 4x and 8x table. "
grdlrht,lqxtzvq,ixlglnr,"Rounding numbers to the nearest 100 and 1,000."
grdmhut,etcuxwi,mflvjfv,Using known facts to find factors.
grdztul,nqsdrov,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
greghpe,nlhjqro,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
grenpbp,ipebtta,ittdkew,Finding equivalent fractions.
grerhrz,kuxrgub,gsowtvc,Solving real-life problems with bar models.
gretjpo,noddydk,dzbfsdd,Finding square numbers.
grezamt,msgbalr,dipelfb,Multiplying fractions by a whole number 
grfaeoy,ifvbiaw,gsowtvc,Solving real-life problems with bar models.
grfoulf,ndprfuz,hrpfpoj,Using fact families to multiply and divide.
grgendn,agitrrj,hrpfpoj,Using fact families to multiply and divide.
grgylrn,ghtgsiz,npjzxlw,Finding common multiples.
grhfvom,jfvwkkp,acvbcev,Comparing fractions using reasoning.
grhgahv,dohzhic,ittdkew,Finding equivalent fractions.
grhlktq,hnyealg,nvhtbfr,Multiplying 2-digit numbers using long multiplication. 
grhntrr,luofevc,ittdkew,Finding equivalent fractions.
grhsnvq,gsljagk,hrpfpoj,Using fact families to multiply and divide.
grijatr,msjejja,aqihdxz,Adding and subtracting amounts of money to give change. 
grikrjr,mholwup,nbnqdnl,Multiplying and dividing decimals using known facts.
grjbhsl,elntmek,mpponvh,Subtracting within 20.
grjhcyc,bfvqrsm,cpgyqua,Writing tenths as decimals.
grjrvjy,ezsodrn,mcnzvid,Developing Fluency with Addition and Subtraction
grjsoee,dpzivtw,famwnbp,Dividing numbers by 100.
grjtmed,klstkws,gsowtvc,Solving real-life problems with bar models.
grkgodu,ibplpzn,cbyyaui,Adding and subtracting using rounding and adjusting.
grkmxqd,nfykdtb,aqrhryr,Rounding decimals to the nearest whole number.
grkshri,ionddpz,aiyxayu,Reasoning with Perimeter and Area
grlsgfo,enykduv,nvoahmy,Solving multi-step addition and subtraction problems.
grlucua,juihahn,htmuncx,"Ordering numbers up to 1,000. "
grlyrhg,kymkauj,ecwvorq,Choosing a mental or written method.
grlzrko,meemmbw,jfvgeod,Multiplying up to 3-digits using short multiplication.
grmjmql,fggllbg,jloipph,Dividing using partitioning.
grmmhku,ljdbkow,mndvwdh,Understanding fractions greater than 1.
grmpwon,kskvotn,lddighw,"Comparing numbers up to 10,000."
grmyziu,aogyjrh,lcidfkx,Rounding numbers to the nearest 10.
grnjyte,hvonyjn,aqrhryr,Rounding decimals to the nearest whole number.
grnwkfv,bekisov,meqpwaq,Solving real-life problems with remainders.
grnxenv,cwnqplr,folqlut,Comparing numbers with up to 2 decimal places using money.
groagta,jmfzfil,fvlruzc,"Showing and partitioning numbers up to 10,000. "
grobxvz,cxyweza,lvzqzmo,Solving problems involving conversions between metric measures.
groczwz,coreadi,krfuudx,Counting in multiples.
groezan,lqtdpgh,meqpwaq,Solving real-life problems with remainders.
grojiwo,kobexha,mywwxjv,Knowing 2/4 is equal to 1/2. 
growwoh,btspghq,cjlaygb,Estimating the position of tenths and hundredths on a number line.
groybut,jkviczg,cxsqujf,Using a number line to show the position of 2-digit numbers. 
grpbmap,nodpejb,klriafb,Dividing using short division.
grpeexz,ayngylz,knhfxth,Multiplying using long multiplication.
grpheef,fbzsump,ipbeakp,Finding multiples.
grphljl,igzutch,jzbokzb,Using mental strategies to divide.
grpkdzi,lxeefso,jloipph,Dividing using partitioning.
grplbzm,avrlnva,azoekcq,Forming and Solving Linear Equations.
grpvzln,gzqccnc,folqlut,Comparing numbers with up to 2 decimal places using money.
grqdoyy,jteecam,ighwkhu,Multiplying and dividing by 10 and 100.
grqicbh,hupvdnc,junnets,Knowing common measure conversions.
grqjebz,epclknq,hmaoenn,Finding fractions of an amount.
grqjnjy,hrbcppw,heqwrmw,Using doubling and halving to find multiplication facts.
grqlljf,mlfelhe,lortfat,Rounding numbers to the nearest tenth.
grqnqmf,lkpydcz,klriafb,Dividing using short division.
grrauvv,fnmelin,bmtcjox,Converting between units of measure.
grrczqa,kctutpz,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
grrgxml,islkfhm,luxensj,Comparing numbers with up to 2 decimal places.
grruynz,gkmhqav,dwfrhvb,Adding or subtracting tenths or hundredths.
grrwgro,gnznzim,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
grrximo,ckkbuvb,awpcdkl,Partitioning in different ways with decimals.
grryjwa,kxiuizr,ittdkew,Finding equivalent fractions.
grsbacs,emgymqq,begwnzt,Solving problems involving fractions.
grsjpen,ajelilk,fvlruzc,"Showing and partitioning numbers up to 10,000. "
grsnidn,dfhdztl,nixdzua,Adding and subtracting fractions with the same denominator.
grsykwd,jdhbqew,khgykop,"Ordering numbers up to 1,000,000."
grtwlcy,mlktzlu,bwkgtme,"Looking at the 2x, 4x and 8x table. "
grumktv,bgnfkrh,mndvwdh,Understanding fractions greater than 1.
grurbbj,dhwkyrq,folqlut,Comparing numbers with up to 2 decimal places using money.
gruwfwl,ayghqma,ctnktuy,Using diagrams to show equivalent fractions.
grvduyl,kytduwu,heaiphk,"Knowing the value of each digit in numbers up to 10,000,000."
grvgizf,asksxts,klriafb,Dividing using short division.
grvgten,hnhmidn,ahgjnev,Finding percentages of an amount.
grvseuu,ettuwyc,jczttsr,Writing simple fractions as decimals.
grwbcwl,cjuosfx,bvaxfzg,Adding and subtracting fractions with different denominators.
grwxbxm,gvxfdqg,cjlaygb,Estimating the position of tenths and hundredths on a number line.
grxheqk,gtgxwyn,mcnzvid,Developing Fluency with Addition and Subtraction
grxiupf,nitsail,bmtcjox,Converting between units of measure.
grxpptz,dhzdzhk,mcnzvid,Developing Fluency with Addition and Subtraction
grzbawp,fvfmlae,hrpfpoj,Using fact families to multiply and divide.
grzipdn,kajvlmn,npjzxlw,Finding common multiples.
grzldom,iuwmlmg,jhhktze,Grouping and counting in 10s. 
grzmcjg,jrfgseu,begwnzt,Solving problems involving fractions.
grzoese,dgkgpnx,bwypavr,Multiplying using arrays and the area model. 
grzufyp,hscqgft,ctnktuy,Using diagrams to show equivalent fractions.
gsagzxy,nkuigsi,mntjdry,Finding equivalent fractions using a number line.
gsahkdo,enmgvgj,awpcdkl,Partitioning in different ways with decimals.
gsaoamn,dcbzfwb,cpgyqua,Writing tenths as decimals.
gsaomud,fdhshgo,klriafb,Dividing using short division.
gsbhrij,efpkkml,arymrdo,Rounding to significant figures.
gsblriq,dwxsrht,guhomsj,Adding and subtracting fractions including mixed numbers.
gsbmtup,axzxkzp,mzfyjyr,Simplifying fractions.
gsbnvkr,btgmkgx,nbnqdnl,Multiplying and dividing decimals using known facts.
gsbzbag,mlnhlxu,ittdkew,Finding equivalent fractions.
gscenha,bkdvbiq,meqpwaq,Solving real-life problems with remainders.
gscjojp,ghbwjey,folqlut,Comparing numbers with up to 2 decimal places using money.
gscjqfk,ltrhimz,jtdvfzo,Dividing using short division with exchange.
gscohfe,mkeqqsg,jfvgeod,Multiplying up to 3-digits using short multiplication.
gscuvum,nncveeo,nvoahmy,Solving multi-step addition and subtraction problems.
gsdbuih,avfndrp,jloipph,Dividing using partitioning.
gsdeixt,exopvux,mcnzvid,Developing Fluency with Addition and Subtraction
gsdghvu,brmwrho,colhpld,Finding the difference. 
gsdkfas,etqzcgv,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
gsdqhja,hohasec,jczttsr,Writing simple fractions as decimals.
gsdxqor,adyypxd,khgykop,"Ordering numbers up to 1,000,000."
gsdxzmb,mkiwsqb,hrpfpoj,Using fact families to multiply and divide.
gsehqsr,mrvxozf,bhpswfg,Applying Pythagoras' Theorem 
gsemsif,hioojgr,lcidfkx,Rounding numbers to the nearest 10.
gsesjbx,fvuwvsi,hjfghwb,"Knowing the value of each digit in numbers up to 1,000,000."
gsetjzs,lsvbpbk,acvbcev,Comparing fractions using reasoning.
gsewouu,gnixkyv,bllttmr,Writing percentages as fractions and decimals.
gseyxxj,knzopxz,mlfcler,Adding and subtracting decimals using known facts.
gsfiaof,evjfzdl,mzfyjyr,Simplifying fractions.
gsfjjan,fghqhfd,mcnzvid,Developing Fluency with Addition and Subtraction
gsfoajf,dkkjolm,bfhkqzq,Finding fractions of a set of objects.
